date,sum_valuation_profit,d2_deposit
20230705,7364725,11777384
20230706,6546916,12685842
20230707,6178302,13571024
20230710,6354197,10761695
20230711,6905021,10618275
20230712,7305906,2700895
20230713,7556744,742292
20230714,8010887,3048283
20230717,7966295,4970055
20230718,7606592,5959346
20230719,7617279,2048395
20230720,8166213,2088757
20230721,8079731,3314109
20230724,7407535,3130393
20230725,7831018,13609112
20230726,6281626,23212212
20230727,6898576,5345673
20230728,7169449,263160
20230731,8281213,601280
20230801,8865018,2373798
20230802,8549444,2682683
20230803,8263563,5404836
20230804,8465638,5445641
20230807,8351354,4615573
20230808,7944871,5585554
20230809,8283033,6929333
20230810,8621312,11131322
20230811,8883288,4127308
20230814,8345346,4036758
20230816,7241201,10474654
20230817,7030242,10328236
20230818,6983097,9524926
20230821,7112985,5685265
20230822,6905034,5708137
20230823,6993429,2783532
20230824,7291583,686918
20230825,7260376,1961909
20230828,8638388,2458164
20230829,9153366,8732750
20230830,9467802,7764750
20230831,9552700,9239975
20230901,9665196,6316826
20230904,9873869,8370007
20230905,9784722,9482097
20230906,9238694,5554536
20230907,8859020,10403534
20230908,8917203,7444424
20230911,8900678,3424392
20230912,8335471,5332870
20230913,8162798,3135074
20230914,9055860,430768
20230915,9870953,714085
20230918,9363594,566606
20230919,9135880,5095292
20230920,9136738,3339278
20230921,7986334,11681480
20230922,7974187,13164686
20230925,7711186,11129579
20230926,7051211,14653690
20230927,7610521,179471
20231004,5890815,11055114
20231005,5486161,10812392
20231006,5937542,716181
20231010,4862605,4992638
20231011,6077752,1003701
20231012,7135649,237544
20231013,6598203,62906
20231016,5981722,1008243
20231017,6848172,429682
20231018,6373352,938154
20231019,4737454,1896495
20231020,3711401,7619166
20231023,3145088,744932
20231024,4303500,363214
20231025,4649676,501333
20231026,3108142,211135
20231027,3119200,900188
20231030,3643074,796879
20231031,2746152,1420869
20231101,3310812,582822
20231102,4497872,632220
20231103,5519504,632220
20231106,7823279,586080
20231107,7016039,1792397
20231108,7003186,2513560
20231109,6888190,868053
20231110,6243992,739445
20231113,5647054,1576265
20231114,6305462,573705
20231115,7236311,596921
20231116,7669140,711571
20231117,7349661,1015577
20231120,8057318,179664
20231121,8442006,364137
20231122,8665634,523801
20231123,8518184,886258
20231124,8628189,141432
20231127,8720167,1437888
20231128,8756856,1759322
20231129,8577466,773272
20231130,9390604,120207
20231201,9823507,4436728
20231204,9507124,3571159
20231205,9268441,2511844
20231206,9439704,543844
20231207,9073489,961743
20231208,9526175,48467
20231211,9630452,915314
20231212,9832355,1114509
20231213,9958624,261212
20231214,10522865,526330
20231215,10777966,54574
20231218,11009863,372480
20231219,11102926,1480837
20231220,11653581,751067
20231221,11518925,5256364
20231222,11318165,6420809
20231226,11266087,1364833
20231227,10908790,558674
20231228,11462789,529084
20240102,11873925,1436808
20240103,11273626,5228566
20240104,11005987,1405315
20240105,10790911,3145715
20240108,10936653,1040366
20240109,11137869,5867994
20240110,11007465,4207667
20240111,11202666,4972321
20240112,10649298,6725423
20240115,10730443,10560574
20240116,10329514,15691904
20240117,9471316,20130119
20240118,9744782,16962361
20240119,10020915,11066304
20240122,9940580,11731939
20240123,10088281,6834663
20240124,9862541,3943472
20240125,9874713,998812
20240126,10333041,95346
20240129,10609302,4474053
20240130,10882791,5608146
20240131,10411462,6235686
20240201,11190443,2296744
20240202,12470574,746279
20240205,12496432,4126372
20240206,12027527,6206449
20240207,12868686,7542604
20240208,13307038,6999612
20240213,13932545,5076748
20240214,14066694,6362132
20240215,14312042,7891634
20240216,14776277,3935284
20240219,15356115,842599
20240220,14806011,9740975
20240221,14922827,11018981
20240222,14989415,10031861
20240223,14898105,12240101
20240226,14408547,12058861
20240227,13597459,15110233
20240228,14065726,11004694
20240229,14171079,10188160
20240304,14323559,5380023
20240305,13858644,16028716
20240306,13868103,15931596
20240307,13669787,12160921
20240308,14288078,11281409
20240311,13957260,9383451
20240312,14137923,11133406
20240313,14486485,8963755
20240314,15130988,7397882
20240315,14562389,9353303
20240318,14894724,10143121
20240319,14705220,9023743
20240320,14916915,8176086
20240321,15636481,5324254
20240322,15775613,5483007
