index,id,order_num,code,code_name,rate,purchase_rate,purchase_price,present_price,valuation_price,valuation_profit,holding_amount,buy_date,item_total_purchase,chegyul_check,reinvest_count,reinvest_date,invest_unit,reinvest_unit,sell_date,sell_price,sell_rate,rate_std,rate_std_mod_val,rate_std_htr,rate_htr,rate_std_mod_val_htr,yes_close,close,d1_diff_rate,d1_diff,open,high,low,volume,clo5,clo10,clo20,clo40,clo60,clo80,clo100,clo120,clo5_diff_rate,clo10_diff_rate,clo20_diff_rate,clo40_diff_rate,clo60_diff_rate,clo80_diff_rate,clo100_diff_rate,clo120_diff_rate
0,0.0,0,114840,아이패밀리에스씨,22.15,5.35,6696,8202,12211636,2214508,1493,202302011302,9997128,0,0,0,10000000,0,202304040900,8202,22.15,0,0,0,0,0,6356,8202,1.55,0,8192,8382,7977,211642,7918,7492,7042,6895,6829,6615,6256,5992,-3.83,-5.35,-4.48,1.8,10.92,15.96,14.28,12.06
0,0.0,0,001200,유진투자증권,-15.13,3.82,2855,2430,8485809,-1512401,3502,202302011511,9998210,0,0,0,10000000,0,202304040900,2430,-15.13,0,0,0,0,0,2750,2440,-1.41,0,2430,2475,2430,111635,2416,2409,2445,2602,2640,2608,2615,2571,-1.89,0.16,4.52,5.74,5.9,8.48,8.34,5.76
0,0.0,0,102710,이엔에프테크놀로지,-20.06,3.85,24250,19440,7986557,-2004443,412,202302020900,9991000,0,0,0,10000000,0,202303140909,19440,-20.06,0,0,0,0,0,23350,19960,0.1,0,19880,20150,19560,89037,20540,21285,22475,22777,22337,22583,22713,22870,0.91,1.92,4.92,5.52,3.08,2.94,0.62,-3.52
0,0.0,0,175330,JB금융지주,-10.48,2.24,9580,8600,8944531,-1047409,1043,202302031309,9991940,0,0,0,10000000,0,202304050900,8600,-10.48,0,0,0,0,0,9370,8650,1.88,0,8650,8680,8470,517034,8674,8652,8876,9166,9374,9099,8872,8599,-5.98,-8.71,-3.24,4.43,8.87,13.46,16.33,17.57
0,0.0,0,012320,경동인베스트,51.49,1.52,86700,131700,15103869,5133369,115,202302060902,9970500,0,0,0,10000000,0,202304100900,131700,51.49,0,0,0,0,0,85400,134600,-5.68,0,132500,160000,131900,766286,122180,112950,102045,94965,93446,96168,99959,95437,-0.33,-2.37,-8.28,-15.59,-17.97,-8.07,5.53,16.65
0,0.0,0,016590,신대양제지,0.18,0.58,8680,8720,10017320,17960,1152,202302061514,9999360,0,0,0,10000000,0,202304100900,8720,0.18,0,0,0,0,0,8630,8720,-0.57,0,8720,8870,8570,9400,8712,8590,8505,8493,8531,8536,8510,8464,-0.09,0.31,0.44,0.73,1.56,2.44,2.83,2.48
0,0.0,0,012030,DB,100.6,1.8,960,1931,20058496,10059136,10416,202302071110,9999360,0,0,0,10000000,0,202304031211,1931,100.6,0,0,0,0,0,943,1685,15.73,0,1700,1885,1673,79599963,1522,1422,1420,1328,1177,1087,1031,983,1.16,2.66,5.88,10.77,12.38,15.44,17.45,17.36
0,0.0,0,179290,엠아이텍,16.34,1.94,12600,14700,11624710,1632910,793,202302091205,9991800,0,0,0,10000000,0,202304110900,14700,16.34,0,0,0,0,0,12360,14570,1.6,0,14670,14670,14000,377102,14680,14009,13266,12857,12404,12035,11923,11969,0.23,3.05,9.41,11.31,9.45,7.23,5.19,4.71
0,0.0,0,086790,하나금융지주,-16.84,3.24,49400,41200,8298849,-1679951,202,202302100924,9978800,0,0,0,10000000,0,202304120900,41200,-16.84,0,0,0,0,0,47850,41050,1.48,0,41100,41150,40400,748986,40770,40710,40955,42692,45145,45156,44957,44210,-0.87,-2.34,-4.21,0.77,3.54,6.97,10.45,12.61
0,0.0,0,316140,우리금융지주,-8.92,1.34,12820,11710,9108095,-891505,780,202302130917,9999600,0,0,0,10000000,0,202304170900,11710,-8.92,0,0,0,0,0,12650,11670,2.46,0,11730,11720,11410,3255002,11392,11330,11252,11512,11912,12043,12172,12101,1.18,-0.09,-1.02,0.34,0.56,2.33,3.92,4.34
