date,sum_valuation_profit,d2_deposit,total_possess_count
20230915,19003023,8315361,51
20230918,18698141,8315361,51
20230919,17875661,8315361,51
20230920,17423254,6330661,52
20230921,15437482,6330661,52
20230922,15139087,4330661,53
20230925,13782073,2331927,54
20230926,12132247,338838,55
20230927,13401021,338838,55
20231004,9573974,1928067,54
20231005,9061491,1629145,54
20231006,11391072,1629145,54
20231010,9469144,3171756,53
20231011,11390580,5419483,52
20231012,13278949,5419483,52
20231013,12152197,5419483,52
20231016,11325386,7018135,51
20231017,12588613,6364773,52
20231018,11620765,6364773,52
20231019,8295244,7935499,51
20231020,6143725,14299370,47
20231023,5255871,6321140,51
20231024,7010998,1929522,53
20231025,7894311,1929522,53
20231026,5238283,1527170,53
20231027,5483283,488677,53
20231030,6026856,1957057,52
20231031,4300559,1957057,52
20231101,5938805,1957057,52
20231102,8333201,1957057,52
20231103,9409643,1957057,52
20231106,11778366,1957057,52
20231107,10426604,7683941,49
20231108,9860426,5708541,50
20231109,10269707,5708541,50
20231110,9478920,3720711,51
20231113,7673647,3507185,51
20231114,8961921,1759650,52
20231115,10690997,370426,53
20231116,11312894,370426,53
20231117,9490826,370426,53
20231120,10520871,370426,53
20231121,11670589,252153,53
20231122,11995099,252153,53
20231123,11972367,252153,53
20231124,12715991,252153,53
20231127,12169488,1848347,52
20231128,12049066,1480811,53
20231129,12264492,3251427,52
20231130,13369934,860568,53
20231201,13576632,860568,53
20231204,14054505,2882209,52
20231205,14025497,11682427,50
20231206,14843760,7707047,52
20231207,14858117,7707047,52
20231208,15488316,5709887,53
20231211,15397792,5709887,53
20231212,15702861,3711837,54
20231213,14978876,5926612,53
20231214,16093393,1974512,55
20231215,16859401,1974512,55
20231218,17503576,1974512,55
20231219,18314470,1974512,55
20231220,20025715,1974512,55
20231221,18996251,1974512,55
20231222,18953992,1974512,55
20231226,18537941,1969634,55
20231227,17704806,1969634,55
20231228,19139893,1969634,55
20240102,19836048,1969634,55
20240103,18981753,1969634,55
20240104,18588013,1969634,55
20240105,19297376,1969634,55
20240108,20816217,1969634,55
20240109,21375627,1969634,55
20240110,19879343,1969634,55
20240111,20836969,1969634,55
20240112,19258862,1969634,55
20240115,17976778,3483427,54
20240116,16815160,3483427,54
20240117,13742836,8485397,51
20240118,15044648,6490197,52
20240119,16292208,2494737,54
20240122,16510163,4090397,53
20240123,16875718,105347,55
20240124,16798619,105347,55
20240125,17555647,105347,55
20240126,19147498,105347,55
20240129,18707966,19093,55
20240130,18920905,19093,55
20240131,18885092,19093,55
20240201,21201853,1498162,54
20240202,24879545,1498162,54
20240205,25911055,5503039,54
20240206,24696359,8974292,52
20240207,27586826,5042892,54
20240208,27649599,3043632,55
20240213,29664828,3043632,55
20240214,30985335,10531611,52
20240215,31109501,8564111,53
20240216,33250894,14710908,52
20240219,33932409,11550818,54
20240220,33760951,9560018,55
20240221,33636256,9560018,55
20240222,34702070,7568138,56
20240223,34392789,5588138,57
20240226,33089702,5588138,57
20240227,31355423,5588138,57
20240228,32865655,3589568,58
20240229,32311884,3589568,58
20240304,33186756,1603168,59
20240305,33787223,1603168,59
20240306,33526858,1603168,59
20240307,32947950,1603168,59
20240308,34026042,1603168,59
20240311,33693245,1557742,59
20240312,34476133,1557742,59
20240313,35137338,4229946,58
20240314,34667536,278546,60
20240315,33817944,278546,60
20240318,35438003,278546,60
20240319,34454548,278546,60
20240320,35193595,278546,60
20240321,36871793,278546,60
20240322,37102613,278546,60
20240325,36930814,278546,60
20240326,36436928,345765,60
20240327,36592662,345765,60
20240328,36399474,345765,60
20240329,36824384,345765,60
20240401,37831023,345765,60
20240402,35921472,5731694,57
20240403,35634585,11738135,56
20240404,37306861,9746145,57
20240405,36119894,9347237,57
20240408,34865123,7407137,58
20240409,35657658,5564275,59
20240411,34646993,7697506,58
20240412,35644065,7697506,58
20240415,34984587,9327405,57
20240416,31658177,15625012,55
20240417,32136009,13658512,56
20240418,35594431,5693942,60
20240419,33988262,7290779,59
20240422,34901030,3424639,61
20240423,35354373,10253124,59
20240424,37642899,10253124,59
20240425,36675986,10253124,59
20240426,37180338,6279404,61
20240429,37872565,6279404,61
20240430,39802018,4302104,62
20240502,39500487,2311904,63
20240503,39445200,2311904,63
20240507,40321301,2311904,63
20240508,41069519,312104,64
20240509,40479744,1906049,63
20240510,41155487,1906049,63
20240513,40412206,7101545,61
20240514,40860246,13687520,58
20240516,42505268,13279089,59
20240517,41678207,13279089,59
20240520,42271563,19243353,58
20240521,41645479,19243353,58
20240522,41847915,19243353,58
20240523,41950252,17245353,59
20240524,41551897,15286153,60
20240527,42119340,15286153,60
20240528,42081310,18415740,59
20240529,42191337,20423676,58
20240530,40069434,20423676,58
20240531,40588729,18436026,59
20240603,41542897,18436026,59
20240604,40122468,24797573,56
20240605,41058858,24797573,56
20240607,40922534,24797573,56
20240610,41900969,24399137,56
20240611,42003956,26347280,55
20240612,42597668,26347280,55
20240613,42490091,26347280,55
20240614,42435726,26347280,55
20240617,42533279,24349680,56
