date,open,high,low,close,adj_close,volume,ci,ci14,ci20,ci14_diff,ci20_diff
2023-11-06,2399.800048828125,2502.3701171875,2395.030029296875,2502.3701171875,2502.3701171875,528600,95.0,-101.0,-90.0,20.522388059701495,11.134453781512605
2023-11-07,2476.35009765625,2476.35009765625,2418.739990234375,2443.9599609375,2443.9599609375,457700,67.0,-94.0,-81.0,20.33582089552239,13.025210084033617
2023-11-08,2460.219970703125,2468.429931640625,2418.139892578125,2421.6201171875,2421.6201171875,467200,57.0,-84.0,-75.0,20.522388059701495,14.075630252100844
2023-11-09,2425.929931640625,2437.89990234375,2413.0400390625,2427.080078125,2427.080078125,395000,50.0,-71.0,-70.0,22.388059701492537,15.54621848739496
2023-11-10,2406.39990234375,2413.6201171875,2393.639892578125,2409.659912109375,2409.659912109375,312500,30.0,-58.0,-66.0,25.74626865671642,18.48739495798319
2023-11-13,2431.239990234375,2435.320068359375,2399.0400390625,2403.760009765625,2403.760009765625,307100,42.0,-45.0,-60.0,28.171641791044777,20.798319327731093
2023-11-14,2424.929931640625,2442.3701171875,2422.969970703125,2433.25,2433.25,307000,72.0,-32.0,-55.0,29.664179104477615,21.638655462184875
2023-11-15,2482.2099609375,2487.419921875,2468.429931640625,2486.669921875,2486.669921875,419800,134.0,-8.0,-46.0,33.58208955223881,23.10924369747899
2023-11-16,2483.47998046875,2491.97998046875,2472.68994140625,2488.179931640625,2488.179931640625,407400,125.0,13.0,-36.0,36.75373134328358,25.630252100840337
2023-11-17,2477.429931640625,2481.10009765625,2463.590087890625,2469.85009765625,2469.85009765625,388200,96.0,31.0,-24.0,40.29850746268657,29.6218487394958
2023-11-20,2464.719970703125,2499.75,2464.0400390625,2491.199951171875,2491.199951171875,323800,100.0,48.0,-12.0,44.40298507462687,34.2436974789916
2023-11-21,2504.699951171875,2517.739990234375,2500.909912109375,2510.419921875,2510.419921875,345100,114.0,64.0,1.0,50.559701492537314,39.49579831932773
