date,sum_valuation_profit,d2_deposit
20230831,15206526,15348171
20230901,15475784,9487353
20230904,15959948,13650076
20230905,15709678,15870252
20230906,14547341,7771902
20230907,13873793,19764327
20230908,14009421,11756854
20230911,13953546,3618026
20230912,12845276,7451716
20230913,12540301,3050334
20230914,14411719,1607774
20230915,15999937,205164
20230918,14964835,1913490
20230919,14624721,11297231
20230920,14612928,7796671
20230921,12499662,22896834
20230922,12586168,25814981
20230925,12202431,21757819
20230926,10701107,21246751
20230927,11958992,79399
20231004,8670791,21945317
20231005,7825053,21531181
20231006,8762172,1347130
20231010,6832598,6611644
20231011,9234326,579465
20231012,11377455,1066989
20231013,10209765,831516
20231016,8869977,670759
20231017,10507460,1034548
20231018,9563615,89338
20231019,6145428,5585032
20231020,4106404,13403934
20231023,2994659,1039219
20231024,5380373,532997
20231025,6107921,776224
20231026,3579784,2521842
20231027,3624034,256560
20231030,4616904,1966928
20231031,2800264,1371605
20231101,3956145,1690845
20231102,6342351,1814314
20231103,8379840,1814314
20231106,13327273,150833
20231107,11552136,2575498
20231108,11473177,3622592
20231109,11346801,614345
20231110,10012269,349230
20231113,8850678,3764874
20231114,10188349,1952084
20231115,12302430,374721
20231116,13139858,904904
20231117,12569334,3306740
20231120,13810692,1324340
20231121,14549019,4252680
20231122,15189480,568758
20231123,14863211,1256764
20231124,15134157,1754753
20231127,15140725,3941061
20231128,15119324,4723258
20231129,14514942,727173
20231130,16274227,1184720
20231201,16770209,3708571
20231204,15971288,1715971
20231205,15393198,1365386
20231206,15627638,1365386
20231207,14880384,3794519
20231208,15884968,153615
20231211,16073971,1930787
20231212,16456425,4455771
20231213,16377842,2533401
20231214,17395295,3111992
20231215,17684595,1530376
20231218,17792283,1738768
20231219,18001121,6320510
20231220,18911537,400000
20231221,18448239,7177572
20231222,18012784,7180064
20231226,17754029,990981
20231227,17244288,1299240
20231228,18334930,1499188
20240102,19094970,3293227
20240103,18088183,9027548
20240104,17589596,3129393
20240105,17365897,5256590
20240108,17701764,1040008
20240109,18103814,10948423
20240110,17893794,7603680
20240111,18359263,8474347
20240112,17258763,11843575
20240115,17406181,19423027
20240116,16597130,29810446
20240117,14866021,35124764
20240118,15472451,30963405
20240119,15978877,19341266
20240122,15831297,20847694
20240123,16064357,11037959
20240124,15601681,4851576
20240125,15716380,874076
20240126,16737672,763648
20240129,17166024,3319014
20240130,17645081,7843202
20240131,16677411,7039765
20240201,17981358,668910
20240202,20695905,1973986
20240205,20844467,6812279
20240206,19960187,11187630
20240207,21527807,11893878
20240208,22367508,10741583
20240213,23597715,6905230
20240214,23955594,11765441
20240215,24457128,14824446
20240216,25514933,7288560
20240219,26630984,506634
20240220,25516178,14234005
20240221,25732796,16787665
20240222,25827466,14814672
20240223,25613674,19226406
20240226,24612811,18928742
20240227,22950738,23053911
20240228,23844661,14700612
20240229,24010896,15015235
20240304,24374010,4919709
20240305,23432270,24341611
20240306,23441243,24129700
20240307,23104025,20466604
20240308,24417227,19113403
20240311,23728611,15268040
20240312,24106248,18830171
20240313,24799952,14499576
20240314,25913245,9348674
20240315,24745961,13368111
20240318,25408937,15435771
20240319,25034495,13411667
20240320,25459364,11716353
20240321,26900800,6009583
20240322,27179632,6327088
